date,day_of_week,month,is_weekend,is_holiday,total_deposits,n_deposits,total_purchases,n_purchases,bills_amount,bills_due,net_flow,running_balance
2023-12-03,0,12,1,0,4864,1,0,0,0,0,4864,378071.84
2023-12-04,1,12,0,0,6092,1,0,0,0,0,6092,384163.84
2023-12-05,2,12,0,0,3940,1,0,0,0,0,3940,388103.84
2023-12-06,3,12,0,0,7218,1,4511,1,0,0,2707,390810.84
2023-12-07,4,12,0,0,5383,1,0,0,0,0,5383,396193.84
2023-12-08,5,12,0,0,7320,1,6889,1,0,0,431,396624.84
2023-12-09,6,12,1,0,13921,1,0,0,0,0,13921,410545.84
2023-12-10,0,12,1,0,4140,1,4583,1,0,0,-443,410102.84
2023-12-11,1,12,0,0,5607,1,0,0,0,0,5607,415709.84
2023-12-12,2,12,0,0,9894,1,0,0,0,0,9894,425603.84
2023-12-13,3,12,0,0,6660,1,4575,1,0,0,2085,427688.84
2023-12-14,4,12,0,0,7426,1,0,0,0,0,7426,435114.84
2023-12-15,5,12,0,0,10041,1,3351,1,4990.17,1,1699.83,436814.67
2023-12-16,6,12,1,0,5972,1,0,0,0,0,5972,442786.67
2023-12-17,0,12,1,0,2780,1,3317,1,0,0,-537,442249.67
2023-12-18,1,12,0,0,6721,1,0,0,0,0,6721,448970.67
2023-12-19,2,12,0,0,7633,1,5454,1,0,0,2179,451149.67
2023-12-20,3,12,0,0,4879,1,0,0,1459.07,1,3419.93,454569.6
2023-12-21,4,12,0,0,9261,1,0,0,0,0,9261,463830.6
2023-12-22,5,12,0,0,13268,1,0,0,0,0,13268,477098.6
2023-12-23,6,12,1,0,9657,1,0,0,0,0,9657,486755.6
2023-12-24,0,12,1,0,5604,1,6314,1,0,0,-710,486045.6
2023-12-25,1,12,0,1,1455,1,0,0,0,0,1455,487500.6
2023-12-26,2,12,0,0,5079,1,0,0,0,0,5079,492579.6
2023-12-27,3,12,0,0,6731,1,0,0,0,0,6731,499310.6
2023-12-28,4,12,0,0,4370,1,3372,1,0,0,998,500308.6
2023-12-29,5,12,0,0,13464,1,0,0,0,0,13464,513772.6
2023-12-30,6,12,1,0,6046,1,0,0,0,0,6046,519818.6
2023-12-31,0,12,1,0,7063,1,5224,1,4636.22,1,-2797.22,517021.38
2024-01-01,1,1,0,1,1059,1,0,0,6069.8,1,-5010.8,512010.58
2024-01-02,2,1,0,0,7985,1,6535,1,0,0,1450,513460.58
2024-01-03,3,1,0,0,9222,1,0,0,0,0,9222,522682.58
2024-01-04,4,1,0,0,8593,1,4997,1,0,0,3596,526278.58
2024-01-05,5,1,0,0,7719,1,0,0,0,0,7719,533997.58
2024-01-06,6,1,1,0,12850,1,4808,1,0,0,8042,542039.58
2024-01-07,0,1,1,0,7157,1,0,0,0,0,7157,549196.58
2024-01-08,1,1,0,0,7433,1,0,0,0,0,7433,556629.58
2024-01-09,2,1,0,0,6422,1,0,0,0,0,6422,563051.58
2024-01-10,3,1,0,0,4252,1,0,0,0,0,4252,567303.58
2024-01-11,4,1,0,0,11155,1,0,0,0,0,11155,578458.58
2024-01-12,5,1,0,0,9964,1,0,0,0,0,9964,588422.58
2024-01-13,6,1,1,0,12680,1,0,0,0,0,12680,601102.58
2024-01-14,0,1,1,0,7852,1,0,0,0,0,7852,608954.58
2024-01-15,1,1,0,0,7542,1,5693,1,4734.96,1,-2885.96,606068.62
2024-01-16,2,1,0,0,5712,1,0,0,0,0,5712,611780.62
2024-01-17,3,1,0,0,4382,1,5855,1,0,0,-1473,610307.62
2024-01-18,4,1,0,0,9655,1,0,0,0,0,9655,619962.62
2024-01-19,5,1,0,0,10001,1,0,0,0,0,10001,629963.62
2024-01-20,6,1,1,0,10449,1,3541,1,1422.07,1,5485.93,635449.55
2024-01-21,0,1,1,0,3678,1,0,0,0,0,3678,639127.55
2024-01-22,1,1,0,0,5416,1,0,0,0,0,5416,644543.55
2024-01-23,2,1,0,0,7196,1,0,0,0,0,7196,651739.55
2024-01-24,3,1,0,0,9336,1,0,0,0,0,9336,661075.55
2024-01-25,4,1,0,0,5216,1,0,0,0,0,5216,666291.55
2024-01-26,5,1,0,0,8733,1,6313,1,0,0,2420,668711.55
2024-01-27,6,1,1,0,6083,1,0,0,0,0,6083,674794.55
2024-01-28,0,1,1,0,8057,1,0,0,0,0,8057,682851.55
2024-01-29,1,1,0,0,3419,1,0,0,0,0,3419,686270.55
2024-01-30,2,1,0,0,8435,1,0,0,0,0,8435,694705.55
2024-01-31,3,1,0,0,5345,1,6112,1,6339.26,1,-7106.26,687599.29
2024-02-01,4,2,0,0,6807,1,0,0,5997.55,1,809.45,688408.74
2024-02-02,5,2,0,0,12975,1,7076,1,0,0,5899,694307.74
2024-02-03,6,2,1,0,13521,1,0,0,0,0,13521,707828.74
2024-02-04,0,2,1,0,5326,1,7598,1,0,0,-2272,705556.74
2024-02-05,1,2,0,1,7484,1,0,0,0,0,7484,713040.74
2024-02-06,2,2,0,0,3475,1,0,0,0,0,3475,716515.74
2024-02-07,3,2,0,0,3365,1,7653,1,0,0,-4288,712227.74
2024-02-08,4,2,0,0,11156,1,0,0,0,0,11156,723383.74
2024-02-09,5,2,0,0,5895,1,5510,1,0,0,385,723768.74
2024-02-10,6,2,1,0,12227,1,0,0,0,0,12227,735995.74
2024-02-11,0,2,1,0,5396,1,3342,1,0,0,2054,738049.74
2024-02-12,1,2,0,0,3761,1,0,0,0,0,3761,741810.74
2024-02-13,2,2,0,0,8301,1,0,0,0,0,8301,750111.74
2024-02-14,3,2,0,0,7119,1,0,0,0,0,7119,757230.74
2024-02-15,4,2,0,0,10561,1,3736,1,4077.15,1,2747.85,759978.59
2024-02-16,5,2,0,0,6551,1,0,0,0,0,6551,766529.59
2024-02-17,6,2,1,0,7273,1,0,0,0,0,7273,773802.59
2024-02-18,0,2,1,0,5454,1,7460,1,0,0,-2006,771796.59
2024-02-19,1,2,0,0,3069,1,0,0,0,0,3069,774865.59
2024-02-20,2,2,0,0,9760,1,0,0,898.56,1,8861.44,783727.03
2024-02-21,3,2,0,0,5709,1,0,0,0,0,5709,789436.03
2024-02-22,4,2,0,0,11069,1,6397,1,0,0,4672,794108.03
2024-02-23,5,2,0,0,10627,1,0,0,0,0,10627,804735.03
2024-02-24,6,2,1,0,10894,1,6192,1,0,0,4702,809437.03
2024-02-25,0,2,1,0,5493,1,0,0,0,0,5493,814930.03
2024-02-26,1,2,0,0,5953,1,7258,1,0,0,-1305,813625.03
2024-02-27,2,2,0,0,8694,1,0,0,0,0,8694,822319.03
2024-02-28,3,2,0,0,10233,1,6384,1,0,0,3849,826168.03
2024-02-29,4,2,0,0,7809,1,0,0,6754.7,1,1054.3,827222.33
2024-03-01,5,3,0,0,4626,1,0,0,5916.5,1,-1290.5,825931.83
2024-03-02,6,3,1,0,9439,1,4042,1,0,0,5397,831328.83
2024-03-03,0,3,1,0,2919,1,0,0,0,0,2919,834247.83
2024-03-04,1,3,0,0,6392,1,7687,1,0,0,-1295,832952.83
2024-03-05,2,3,0,0,7318,1,0,0,0,0,7318,840270.83
2024-03-06,3,3,0,0,6117,1,0,0,0,0,6117,846387.83
2024-03-07,4,3,0,0,10423,1,6770,1,0,0,3653,850040.83
2024-03-08,5,3,0,0,5091,1,0,0,0,0,5091,855131.83
2024-03-09,6,3,1,0,13383,1,7787,1,0,0,5596,860727.83
2024-03-10,0,3,1,0,4928,1,0,0,0,0,4928,865655.83
2024-03-11,1,3,0,0,3942,1,7758,1,0,0,-3816,861839.83
2024-03-12,2,3,0,0,8818,1,0,0,0,0,8818,870657.83
2024-03-13,3,3,0,0,4923,1,0,0,0,0,4923,875580.83
2024-03-14,4,3,0,0,6284,1,4503,1,0,0,1781,877361.83
2024-03-15,5,3,0,0,8727,1,0,0,6754.1,1,1972.9,879334.73
2024-03-16,6,3,1,0,13505,1,0,0,0,0,13505,892839.73
2024-03-17,0,3,1,0,7034,1,6497,1,0,0,537,893376.73
2024-03-18,1,3,0,0,5234,1,0,0,0,0,5234,898610.73
2024-03-19,2,3,0,0,5284,1,0,0,0,0,5284,903894.73
2024-03-20,3,3,0,0,5571,1,0,0,1044.65,1,4526.35,908421.08
2024-03-21,4,3,0,1,5928,1,0,0,0,0,5928,914349.08
2024-03-22,5,3,0,0,8587,1,7967,1,0,0,620,914969.08
2024-03-23,6,3,1,0,10873,1,0,0,0,0,10873,925842.08
2024-03-24,0,3,1,0,6590,1,4088,1,0,0,2502,928344.08
2024-03-25,1,3,0,0,4890,1,0,0,0,0,4890,933234.08
2024-03-26,2,3,0,0,4163,1,7834,1,0,0,-3671,929563.08
2024-03-27,3,3,0,0,8977,1,0,0,0,0,8977,938540.08
2024-03-28,4,3,0,0,9546,1,4253,1,0,0,5293,943833.08
2024-03-29,5,3,0,0,10721,1,0,0,0,0,10721,954554.08
2024-03-30,6,3,1,0,5005,1,7913,1,0,0,-2908,951646.08
2024-03-31,0,3,1,0,7391,1,0,0,6512.12,1,878.88,952524.96
2024-04-01,1,4,0,0,6304,1,0,0,5976.51,1,327.49,952852.45
2024-04-02,2,4,0,0,4089,1,5208,1,0,0,-1119,951733.45
2024-04-03,3,4,0,0,5531,1,0,0,0,0,5531,957264.45
2024-04-04,4,4,0,0,7060,1,0,0,0,0,7060,964324.45
2024-04-05,5,4,0,0,10661,1,0,0,0,0,10661,974985.45
2024-04-06,6,4,1,0,7887,1,0,0,0,0,7887,982872.45
2024-04-07,0,4,1,0,4959,1,0,0,0,0,4959,987831.45
2024-04-08,1,4,0,0,7539,1,0,0,0,0,7539,995370.45
2024-04-09,2,4,0,0,4273,1,4388,1,0,0,-115,995255.45
2024-04-10,3,4,0,0,10386,1,0,0,0,0,10386,1005641.45
2024-04-11,4,4,0,0,4457,1,5350,1,0,0,-893,1004748.45
2024-04-12,5,4,0,0,10382,1,0,0,0,0,10382,1015130.45
2024-04-13,6,4,1,0,10625,1,5756,1,0,0,4869,1019999.45
2024-04-14,0,4,1,0,5587,1,0,0,0,0,5587,1025586.45
2024-04-15,1,4,0,0,3858,1,7288,1,6484.08,1,-9914.08,1015672.37
2024-04-16,2,4,0,0,5577,1,0,0,0,0,5577,1021249.37
2024-04-17,3,4,0,0,9656,1,0,0,0,0,9656,1030905.37
2024-04-18,4,4,0,0,6465,1,7094,1,0,0,-629,1030276.37
2024-04-19,5,4,0,0,13467,1,0,0,0,0,13467,1043743.37
2024-04-20,6,4,1,0,7373,1,0,0,1343.91,1,6029.09,1049772.46
2024-04-21,0,4,1,0,4898,1,5308,1,0,0,-410,1049362.46
2024-04-22,1,4,0,0,4965,1,0,0,0,0,4965,1054327.46
2024-04-23,2,4,0,0,5766,1,3569,1,0,0,2197,1056524.46
2024-04-24,3,4,0,0,4261,1,0,0,0,0,4261,1060785.46
2024-04-25,4,4,0,0,9905,1,4409,1,0,0,5496,1066281.46
2024-04-26,5,4,0,0,9377,1,0,0,0,0,9377,1075658.46
2024-04-27,6,4,1,0,10178,1,3539,1,0,0,6639,1082297.46
2024-04-28,0,4,1,0,5151,1,0,0,0,0,5151,1087448.46
2024-04-29,1,4,0,0,3295,1,0,0,0,0,3295,1090743.46
2024-04-30,2,4,0,0,9230,1,4254,1,6369.46,1,-1393.46,1089350
2024-05-01,3,5,0,1,3543,1,0,0,5825.92,1,-2282.92,1087067.08
2024-05-02,4,5,0,0,8254,1,4973,1,0,0,3281,1090348.08
2024-05-03,5,5,0,0,10985,1,0,0,0,0,10985,1101333.08
2024-05-04,6,5,1,0,4626,1,6235,1,0,0,-1609,1099724.08
2024-05-05,0,5,1,0,7535,1,0,0,0,0,7535,1107259.08
2024-05-06,1,5,0,0,7935,1,6302,1,0,0,1633,1108892.08
2024-05-07,2,5,0,0,8136,1,0,0,0,0,8136,1117028.08
2024-05-08,3,5,0,0,8012,1,0,0,0,0,8012,1125040.08
2024-05-09,4,5,0,0,9811,1,4818,1,0,0,4993,1130033.08
2024-05-10,5,5,0,1,16015,1,0,0,0,0,16015,1146048.08
2024-05-11,6,5,1,0,12796,1,3431,1,0,0,9365,1155413.08
2024-05-12,0,5,1,0,3422,1,0,0,0,0,3422,1158835.08
2024-05-13,1,5,0,0,4312,1,4783,1,0,0,-471,1158364.08
2024-05-14,2,5,0,0,7195,1,0,0,0,0,7195,1165559.08
2024-05-15,3,5,0,0,8962,1,0,0,6911.24,1,2050.76,1167609.84
2024-05-16,4,5,0,0,9934,1,3334,1,0,0,6600,1174209.84
2024-05-17,5,5,0,0,6805,1,0,0,0,0,6805,1181014.84
2024-05-18,6,5,1,0,7408,1,6213,1,0,0,1195,1182209.84
2024-05-19,0,5,1,0,3159,1,0,0,0,0,3159,1185368.84
2024-05-20,1,5,0,0,6226,1,0,0,1150.84,1,5075.16,1190444
2024-05-21,2,5,0,0,6265,1,7727,1,0,0,-1462,1188982
2024-05-22,3,5,0,0,4868,1,0,0,0,0,4868,1193850
2024-05-23,4,5,0,0,8559,1,6979,1,0,0,1580,1195430
2024-05-24,5,5,0,0,13704,1,0,0,0,0,13704,1209134
2024-05-25,6,5,1,0,13531,1,7910,1,0,0,5621,1214755
2024-05-26,0,5,1,0,6830,1,0,0,0,0,6830,1221585
2024-05-27,1,5,0,0,8265,1,6504,1,0,0,1761,1223346
2024-05-28,2,5,0,0,3689,1,0,0,0,0,3689,1227035
2024-05-29,3,5,0,0,3672,1,0,0,0,0,3672,1230707
2024-05-30,4,5,0,0,11065,1,5056,1,0,0,6009,1236716
2024-05-31,5,5,0,0,6642,1,0,0,6957.21,1,-315.21,1236400.79
2024-06-01,6,6,1,0,6334,1,3253,1,5824.05,1,-2743.05,1233657.74
2024-06-02,0,6,1,0,5697,1,0,0,0,0,5697,1239354.74
2024-06-03,1,6,0,0,3596,1,7065,1,0,0,-3469,1235885.74
2024-06-04,2,6,0,0,4650,1,0,0,0,0,4650,1240535.74
2024-06-05,3,6,0,0,8767,1,0,0,0,0,8767,1249302.74
2024-06-06,4,6,0,0,11389,1,0,0,0,0,11389,1260691.74
2024-06-07,5,6,0,0,5627,1,0,0,0,0,5627,1266318.74
2024-06-08,6,6,1,0,10404,1,5565,1,0,0,4839,1271157.74
2024-06-09,0,6,1,0,4300,1,0,0,0,0,4300,1275457.74
2024-06-10,1,6,0,0,8039,1,3020,1,0,0,5019,1280476.74
2024-06-11,2,6,0,0,9236,1,0,0,0,0,9236,1289712.74
2024-06-12,3,6,0,0,8610,1,0,0,0,0,8610,1298322.74
2024-06-13,4,6,0,0,11446,1,3393,1,0,0,8053,1306375.74
2024-06-14,5,6,0,0,12041,1,0,0,0,0,12041,1318416.74
2024-06-15,6,6,1,0,12574,1,6288,1,6577.19,1,-291.19,1318125.55
2024-06-16,0,6,1,0,5486,1,0,0,0,0,5486,1323611.55
2024-06-17,1,6,0,0,4773,1,4589,1,0,0,184,1323795.55
2024-06-18,2,6,0,0,6807,1,0,0,0,0,6807,1330602.55
2024-06-19,3,6,0,0,9645,1,0,0,0,0,9645,1340247.55
2024-06-20,4,6,0,0,8792,1,7764,1,809.47,1,218.53,1340466.08
2024-06-21,5,6,0,0,12477,1,0,0,0,0,12477,1352943.08
2024-06-22,6,6,1,0,13621,1,0,0,0,0,13621,1366564.08
2024-06-23,0,6,1,0,2645,1,5731,1,0,0,-3086,1363478.08
2024-06-24,1,6,0,0,8757,1,0,0,0,0,8757,1372235.08
2024-06-25,2,6,0,0,7715,1,4834,1,0,0,2881,1375116.08
2024-06-26,3,6,0,0,10017,1,0,0,0,0,10017,1385133.08
2024-06-27,4,6,0,0,7691,1,3180,1,0,0,4511,1389644.08
2024-06-28,5,6,0,0,11535,1,0,0,0,0,11535,1401179.08
2024-06-29,6,6,1,0,9688,1,6698,1,0,0,2990,1404169.08
2024-06-30,0,6,1,0,6126,1,0,0,6069.18,1,56.82,1404225.9
2024-07-01,1,7,0,0,4529,1,4731,1,6085.92,1,-6287.92,1397937.98
2024-07-02,2,7,0,0,7702,1,0,0,0,0,7702,1405639.98
2024-07-03,3,7,0,0,8413,1,6067,1,0,0,2346,1407985.98
2024-07-04,4,7,0,0,9274,1,0,0,0,0,9274,1417259.98
2024-07-05,5,7,0,0,10972,1,0,0,0,0,10972,1428231.98
2024-07-06,6,7,1,0,12797,1,0,0,0,0,12797,1441028.98
2024-07-07,0,7,1,0,6525,1,0,0,0,0,6525,1447553.98
2024-07-08,1,7,0,0,3344,1,3770,1,0,0,-426,1447127.98
2024-07-09,2,7,0,0,4380,1,0,0,0,0,4380,1451507.98
2024-07-10,3,7,0,0,9030,1,7291,1,0,0,1739,1453246.98
2024-07-11,4,7,0,0,10229,1,0,0,0,0,10229,1463475.98
2024-07-12,5,7,0,0,7149,1,0,0,0,0,7149,1470624.98
2024-07-13,6,7,1,0,5570,1,0,0,0,0,5570,1476194.98
2024-07-14,0,7,1,0,6074,1,7427,1,0,0,-1353,1474841.98
2024-07-15,1,7,0,0,8460,1,0,0,5788.9,1,2671.1,1477513.08
2024-07-16,2,7,0,0,7724,1,3445,1,0,0,4279,1481792.08
2024-07-17,3,7,0,0,9375,1,0,0,0,0,9375,1491167.08
2024-07-18,4,7,0,0,5730,1,6205,1,0,0,-475,1490692.08
2024-07-19,5,7,0,0,4510,1,0,0,0,0,4510,1495202.08
2024-07-20,6,7,1,0,6990,1,6933,1,876.31,1,-819.31,1494382.77
2024-07-21,0,7,1,0,7601,1,0,0,0,0,7601,1501983.77
2024-07-22,1,7,0,0,6906,1,0,0,0,0,6906,1508889.77
2024-07-23,2,7,0,0,6583,1,5594,1,0,0,989,1509878.77
2024-07-24,3,7,0,0,8061,1,0,0,0,0,8061,1517939.77
2024-07-25,4,7,0,0,10243,1,0,0,0,0,10243,1528182.77
2024-07-26,5,7,0,0,8153,1,0,0,0,0,8153,1536335.77
2024-07-27,6,7,1,0,5130,1,0,0,0,0,5130,1541465.77
2024-07-28,0,7,1,0,5275,1,0,0,0,0,5275,1546740.77
2024-07-29,1,7,0,0,7796,1,0,0,0,0,7796,1554536.77
2024-07-30,2,7,0,0,9269,1,6197,1,0,0,3072,1557608.77
2024-07-31,3,7,0,0,5632,1,0,0,5046.77,1,585.23,1558194
2024-08-01,4,8,0,0,7917,1,3955,1,6177.94,1,-2215.94,1555978.06
2024-08-02,5,8,0,0,6131,1,0,0,0,0,6131,1562109.06
2024-08-03,6,8,1,0,12311,1,5456,1,0,0,6855,1568964.06
2024-08-04,0,8,1,0,7680,1,0,0,0,0,7680,1576644.06
2024-08-05,1,8,0,0,3679,1,3694,1,0,0,-15,1576629.06
2024-08-06,2,8,0,0,9614,1,0,0,0,0,9614,1586243.06
2024-08-07,3,8,0,0,5771,1,3484,1,0,0,2287,1588530.06
2024-08-08,4,8,0,0,9932,1,0,0,0,0,9932,1598462.06
2024-08-09,5,8,0,0,8398,1,3142,1,0,0,5256,1603718.06
2024-08-10,6,8,1,0,5405,1,0,0,0,0,5405,1609123.06
2024-08-11,0,8,1,0,4646,1,4382,1,0,0,264,1609387.06
2024-08-12,1,8,0,0,8016,1,0,0,0,0,8016,1617403.06
2024-08-13,2,8,0,0,7785,1,6130,1,0,0,1655,1619058.06
2024-08-14,3,8,0,0,6656,1,0,0,0,0,6656,1625714.06
2024-08-15,4,8,0,0,8169,1,0,0,6193.04,1,1975.96,1627690.02
2024-08-16,5,8,0,0,11506,1,6439,1,0,0,5067,1632757.02
2024-08-17,6,8,1,0,11073,1,0,0,0,0,11073,1643830.02
2024-08-18,0,8,1,0,4271,1,7167,1,0,0,-2896,1640934.02
2024-08-19,1,8,0,0,7420,1,0,0,0,0,7420,1648354.02
2024-08-20,2,8,0,0,6508,1,0,0,1072.65,1,5435.35,1653789.37
2024-08-21,3,8,0,0,10398,1,0,0,0,0,10398,1664187.37
2024-08-22,4,8,0,0,10362,1,0,0,0,0,10362,1674549.37
2024-08-23,5,8,0,0,13685,1,0,0,0,0,13685,1688234.37
2024-08-24,6,8,1,0,13284,1,0,0,0,0,13284,1701518.37
2024-08-25,0,8,1,0,6632,1,0,0,0,0,6632,1708150.37
2024-08-26,1,8,0,0,6791,1,5298,1,0,0,1493,1709643.37
2024-08-27,2,8,0,0,6246,1,0,0,0,0,6246,1715889.37
2024-08-28,3,8,0,0,8285,1,3491,1,0,0,4794,1720683.37
2024-08-29,4,8,0,0,11478,1,0,0,0,0,11478,1732161.37
2024-08-30,5,8,0,0,8998,1,5455,1,0,0,3543,1735704.37
2024-08-31,6,8,1,0,7681,1,0,0,4691.64,1,2989.36,1738693.73
2024-09-01,0,9,1,0,7294,1,0,0,5961.35,1,1332.65,1740026.38
2024-09-02,1,9,0,0,7404,1,3108,1,0,0,4296,1744322.38
2024-09-03,2,9,0,0,7011,1,0,0,0,0,7011,1751333.38
2024-09-04,3,9,0,0,9680,1,7646,1,0,0,2034,1753367.38
2024-09-05,4,9,0,0,5665,1,0,0,0,0,5665,1759032.38
2024-09-06,5,9,0,0,8219,1,0,0,0,0,8219,1767251.38
2024-09-07,6,9,1,0,5459,1,4505,1,0,0,954,1768205.38
2024-09-08,0,9,1,0,3283,1,0,0,0,0,3283,1771488.38
2024-09-09,1,9,0,0,5043,1,6812,1,0,0,-1769,1769719.38
2024-09-10,2,9,0,0,9754,1,0,0,0,0,9754,1779473.38
2024-09-11,3,9,0,0,6318,1,0,0,0,0,6318,1785791.38
2024-09-12,4,9,0,0,7038,1,7285,1,0,0,-247,1785544.38
2024-09-13,5,9,0,0,8852,1,0,0,0,0,8852,1794396.38
2024-09-14,6,9,1,0,5302,1,0,0,0,0,5302,1799698.38
2024-09-15,0,9,1,0,3266,1,0,0,5450.71,1,-2184.71,1797513.67
2024-09-16,1,9,0,1,3066,1,5391,1,0,0,-2325,1795188.67
